index,Patch_Name,Result,Label,Consistency
29,335_NFL_ACS_Patch_1_1,N/A,Correct,N/A
30,251_NFL_kPAR_Patch_485_406,N/A,Incorrect,N/A
31,662_NFL_FixMiner_Patch_19_11,N/A,Correct,N/A
32,431_PFL_RSRepair-A_Patch_20_5,Correct,Incorrect,I
33,421_NFL_ARJA_Patch_83_49,Correct,Incorrect,I
34,225_NFL_kPAR_Patch_1593_845,N/A,Incorrect,N/A
35,73_PFL_Kali-A_Patch_1_1,Incorrect,Incorrect,C
36,632_NFL_FixMiner_Patch_16_16,N/A,Correct,N/A
37,285_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
38,441_NFL_ARJA_Patch_7_6,Correct,Incorrect,I
39,274_PFL_TBar_Patch_14_12,N/A,Correct,N/A
40,413_NFL_TBar_Patch_2_2,N/A,Correct,N/A
41,598_NFL_SimFix_Patch_797_797,N/A,Correct,N/A
42,633_NFL_FixMiner_Patch_5839_1807,N/A,Incorrect,N/A
43,104_NFL_Kali-A_Patch_3_3,Correct,Incorrect,I
44,398_PFL_GenProg-A_Patch_5_2,Incorrect,Incorrect,C
45,56_PFL_AVATAR_Patch_40,N/A,Correct,N/A
46,399_PFL_GenProg-A_Patch_1122_956,Correct,Incorrect,I
47,68_PFL_AVATAR_Patch_115,N/A,Correct,N/A
48,408_PFL_RSRepair-A_Patch_1738_1089,Incorrect,Correct,I
49,360_NFL_TBar_Patch_14_12,N/A,Correct,N/A
50,418_NFL_ARJA_Patch_21_15,Incorrect,Incorrect,C
51,298_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
52,239_PFL_ACS_Patch_1_1,N/A,Correct,N/A
53,113_PFL_DynaMoth_Patch_1_1,Incorrect,Correct,I
54,273_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
55,296_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
56,513_NFL_RSRepair-A_Patch_2_1,Correct,Incorrect,I
57,316_PFL_TBar_Patch_5_5,N/A,Correct,N/A
58,584_NFL_SimFix_Patch_2_2,N/A,Correct,N/A
59,179_PFL_kPAR_Patch_2_1,N/A,Incorrect,N/A
60,521_NFL_RSRepair-A_Patch_9_7,Correct,Incorrect,I
61,280_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
62,76_NFL_AVATAR_Patch_257_146,N/A,Incorrect,N/A
63,78_NFL_AVATAR_Patch_284_96,N/A,Correct,N/A
64,288_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
65,158_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
66,91_PFL_Kali-A_Patch_2_2,Correct,Incorrect,I
67,491_NFL_GenProg-A_Patch_6_1,Correct,Incorrect,I
68,474_NFL_GenProg-A_Patch_35_11,Incorrect,Incorrect,C
69,332_NFL_ACS_Patch_2_2,N/A,Correct,N/A
70,563_PFL_FixMiner_Patch_9909_5900,N/A,Incorrect,N/A
71,164_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
72,476_PFL_SimFix_Patch_4_4,N/A,Incorrect,N/A
73,155_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
74,204_PFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
75,561_PFL_FixMiner_Patch_2_1,N/A,Correct,N/A
76,53_PFL_AVATAR_Patch_1_1,N/A,Correct,N/A
77,214_NFL_kPAR_Patch_6785_5804,N/A,Incorrect,N/A
78,249_NFL_kPAR_Patch_130_85,N/A,Correct,N/A
79,448_PFL_SimFix_Patch_5_5,N/A,Incorrect,N/A
80,527_NFL_RSRepair-A_Patch_167_36,Correct,Incorrect,I
81,330_NFL_ACS_Patch_2_2,N/A,Correct,N/A
82,338_NFL_TBar_Patch_28_28,N/A,Correct,N/A
83,520_NFL_RSRepair-A_Patch_8_3,Correct,Incorrect,I
84,296_PFL_TBar_Patch_7_1,N/A,Incorrect,N/A
85,327_NFL_ACS_Patch_15_1,N/A,Correct,N/A
86,167_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
87,322_NFL_ACS_Patch_1_1,N/A,Correct,N/A
88,327_PFL_TBar_Patch_5_5,N/A,Correct,N/A
89,333_NFL_ACS_Patch_1_1,N/A,Correct,N/A
90,176_PFL_kPAR_Patch_3_3,N/A,Correct,N/A
91,116_PFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
92,549_NFL_SimFix_Patch_2356_2356,N/A,Incorrect,N/A
93,49_PFL_AVATAR_Patch_29,N/A,Incorrect,N/A
94,596_NFL_SimFix_Patch_4565_4565,N/A,Incorrect,N/A
95,291_PFL_TBar_Patch_12_12,N/A,Correct,N/A
96,404_NFL_TBar_Patch_593_301,N/A,Incorrect,N/A
97,486_NFL_GenProg-A_Patch_9_2,Correct,Incorrect,I
98,393_PFL_GenProg-A_Patch_1644_339,Correct,Incorrect,I
99,130_NFL_Kali-A_Patch_1_1,Incorrect,Incorrect,C
100,171_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
101,230_NFL_kPAR_Patch_26_20,N/A,Incorrect,N/A
102,202_NFL_kPAR_Patch_155_56,N/A,Incorrect,N/A
103,207_NFL_kPAR_Patch_646_317,N/A,Incorrect,N/A
104,645_NFL_FixMiner_Patch_26_20,N/A,Incorrect,N/A
105,322_PFL_TBar_Patch_28_12,N/A,Correct,N/A
106,317_NFL_ACS_Patch_1_1,N/A,Correct,N/A
107,206_PFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
108,122_PFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
109,231_PFL_ACS_Patch_1_1,N/A,Correct,N/A
110,97_PFL_Kali-A_Patch_1_1,Incorrect,Incorrect,C
111,412_PFL_RSRepair-A_Patch_62_43,Incorrect,Incorrect,C
112,257_NFL_kPAR_Patch_269_135,N/A,Incorrect,N/A
113,154_NFL_DynaMoth_Patch_1_1,Incorrect,Incorrect,C
114,309_PFL_TBar_Patch_2_1,N/A,Correct,N/A
115,409_PFL_RSRepair-A_Patch_25_7,Correct,Correct,C
116,357_NFL_TBar_Patch_114_72,N/A,Incorrect,N/A
117,57_PFL_AVATAR_Patch_117_64,N/A,Incorrect,N/A
118,356_PFL_ARJA_Patch_130_99,Correct,Incorrect,I
119,543_NFL_RSRepair-A_Patch_4_3,Correct,Incorrect,I
120,665_NFL_FixMiner_Patch_2_2,N/A,Correct,N/A
121,199_NFL_kPAR_Patch_16_16,N/A,Correct,N/A
122,49_NFL_AVATAR_Patch_15_1,N/A,Incorrect,N/A
123,361_NFL_TBar_Patch_2414_1931,N/A,Incorrect,N/A
124,480_PFL_SimFix_Patch_1_1,N/A,Correct,N/A
125,550_PFL_FixMiner_Patch_8_6,N/A,Incorrect,N/A
126,353_NFL_TBar_Patch_1326_709,N/A,Incorrect,N/A
127,121_NFL_Kali-A_Patch_13_13,Correct,Incorrect,I
128,69_NFL_AVATAR_Patch_53_25,N/A,Incorrect,N/A
129,569_NFL_SimFix_Patch_18_18,N/A,Incorrect,N/A
130,323_NFL_ACS_Patch_5_5,N/A,Incorrect,N/A
131,70_NFL_AVATAR_Patch_533_251,N/A,Incorrect,N/A
132,211_PFL_Nopol_Patch_1_1,Correct,Correct,C
133,440_PFL_RSRepair-A_Patch_510_172,Correct,Correct,C
134,170_NFL_DynaMoth_Patch_1_1,Correct,Correct,C
135,481_PFL_SimFix_Patch_91_91,N/A,Correct,N/A
136,65_PFL_AVATAR_Patch_13_1,N/A,Incorrect,N/A
137,281_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
138,324_NFL_ACS_Patch_2_1,N/A,Incorrect,N/A
139,457_PFL_SimFix_Patch_1_1,N/A,Correct,N/A
140,443_PFL_SimFix_Patch_1_1,N/A,Correct,N/A
141,157_PFL_kPAR_Patch_1_1,N/A,Incorrect,N/A
142,207_PFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
143,160_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
144,294_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
145,114_PFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
146,59_PFL_AVATAR_Patch_40_11,N/A,Correct,N/A
147,375_PFL_ARJA_Patch_27_22,Correct,Correct,C
148,649_NFL_FixMiner_Patch_4341_2826,N/A,Incorrect,N/A
149,525_NFL_RSRepair-A_Patch_146_63,Correct,Incorrect,I
150,147_PFL_kPAR_Patch_12_11,N/A,Correct,N/A
151,417_PFL_RSRepair-A_Patch_6_5,Correct,Incorrect,I
152,556_PFL_FixMiner_Patch_1_1,N/A,Correct,N/A
153,201_PFL_kPAR_Patch_8_6,N/A,Correct,N/A
154,357_PFL_ARJA_Patch_61_50,Incorrect,Incorrect,C
155,244_PFL_ACS_Patch_10_3,N/A,Correct,N/A
156,246_PFL_ACS_Patch_1_1,N/A,Correct,N/A
157,120_NFL_Kali-A_Patch_2_2,Correct,Incorrect,I
158,178_PFL_kPAR_Patch_4_2,N/A,Incorrect,N/A
159,248_NFL_kPAR_Patch_452_264,N/A,Incorrect,N/A
160,433_PFL_RSRepair-A_Patch_67_37,Correct,Incorrect,I
161,83_NFL_AVATAR_Patch_525_180,N/A,Incorrect,N/A
162,508_PFL_FixMiner_Patch_4_2,N/A,Correct,N/A
163,272_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
164,326_NFL_ACS_Patch_1_1,N/A,Correct,N/A
165,522_PFL_FixMiner_Patch_1_1,N/A,Incorrect,N/A
166,42_NFL_AVATAR_Patch_108_32,N/A,Incorrect,N/A
167,210_NFL_kPAR_Patch_41_6,N/A,Incorrect,N/A
168,234_PFL_ACS_Patch_3_3,N/A,Correct,N/A
169,410_NFL_TBar_Patch_16_7,N/A,Correct,N/A
170,558_NFL_SimFix_Patch_642_642,N/A,Incorrect,N/A
171,653_NFL_FixMiner_Patch_7_7,N/A,Incorrect,N/A
172,247_PFL_ACS_Patch_2_1,N/A,Correct,N/A
173,425_PFL_RSRepair-A_Patch_3_1,Incorrect,Incorrect,C
174,277_PFL_TBar_Patch_844_620,N/A,Incorrect,N/A
175,143_NFL_Kali-A_Patch_2_2,Correct,Correct,C
176,229_NFL_kPAR_Patch_2_1,N/A,Incorrect,N/A
177,475_NFL_GenProg-A_Patch_36_12,Incorrect,Incorrect,C
178,245_PFL_ACS_Patch_2_2,N/A,Correct,N/A
179,450_PFL_SimFix_Patch_2_2,N/A,Incorrect,N/A
180,366_PFL_ARJA_Patch_25_18,Correct,Incorrect,I
181,209_PFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
182,341_PFL_TBar_Patch_2_2,N/A,Correct,N/A
183,536_PFL_FixMiner_Patch_2_2,N/A,Incorrect,N/A
184,320_PFL_TBar_Patch_198_105,N/A,Incorrect,N/A
185,526_PFL_FixMiner_Patch_291_217,N/A,Incorrect,N/A
186,56_NFL_AVATAR_Patch_1243_193,N/A,Incorrect,N/A
187,269_NFL_Nopol_Patch_1_1,Incorrect,Correct,I
188,577_NFL_SimFix_Patch_1091_1091,N/A,Incorrect,N/A
189,170_PFL_kPAR_Patch_1_1,N/A,Correct,N/A
190,572_PFL_FixMiner_Patch_2_2,N/A,Correct,N/A
191,457_NFL_ARJA_Patch_179_153,Correct,Incorrect,I
192,38_NFL_AVATAR_Patch_6_6,N/A,Correct,N/A
193,473_PFL_SimFix_Patch_2_2,N/A,Correct,N/A
194,546_NFL_SimFix_Patch_1_1,N/A,Correct,N/A
195,60_NFL_AVATAR_Patch_525_329,N/A,Incorrect,N/A
196,47_NFL_AVATAR_Patch_999_513,N/A,Incorrect,N/A
197,172_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
198,562_NFL_SimFix_Patch_1138_1138,N/A,Correct,N/A
199,120_PFL_DynaMoth_Patch_1_1,Incorrect,Incorrect,C
200,364_PFL_ARJA_Patch_1_1,Incorrect,Correct,I
201,104_PFL_Kali-A_Patch_2_2,Correct,Correct,C
202,559_PFL_FixMiner_Patch_64_17,N/A,Correct,N/A
203,487_NFL_GenProg-A_Patch_220_40,Incorrect,Incorrect,C
204,526_NFL_RSRepair-A_Patch_28_11,Incorrect,Incorrect,C
205,383_NFL_TBar_Patch_931_596,N/A,Incorrect,N/A
206,550_NFL_SimFix_Patch_78_78,N/A,Incorrect,N/A
207,369_PFL_ARJA_Patch_317_260,Correct,Incorrect,I
208,237_PFL_ACS_Patch_5_5,N/A,Incorrect,N/A
209,87_NFL_Kali-A_Patch_6_6,Incorrect,Incorrect,C
210,585_NFL_SimFix_Patch_5_5,N/A,Incorrect,N/A
211,424_PFL_RSRepair-A_Patch_353_69,Correct,Incorrect,I
212,90_PFL_Kali-A_Patch_1_1,Correct,Incorrect,I
213,567_PFL_FixMiner_Patch_24_6,N/A,Correct,N/A
214,447_NFL_ARJA_Patch_12_11,Correct,Incorrect,I
215,284_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
216,26_PFL_AVATAR_Patch_412_146,N/A,Incorrect,N/A
217,77_NFL_AVATAR_Patch_221_71,N/A,Correct,N/A
218,455_NFL_ARJA_Patch_184_149,Incorrect,Correct,I
219,573_PFL_FixMiner_Patch_1_1,N/A,Correct,N/A
220,98_PFL_Kali-A_Patch_1_1,Correct,Incorrect,I
221,183_PFL_kPAR_Patch_99_66,N/A,Incorrect,N/A
222,242_PFL_ACS_Patch_13_13,N/A,Incorrect,N/A
223,578_NFL_SimFix_Patch_4783_4783,N/A,Incorrect,N/A
224,605_NFL_SimFix_Patch_169_169,N/A,Correct,N/A
225,456_NFL_ARJA_Patch_6_6,Correct,Incorrect,I
226,334_NFL_ACS_Patch_2_1,N/A,Correct,N/A
227,123_PFL_DynaMoth_Patch_1_1,Correct,Correct,C
228,474_PFL_SimFix_Patch_5_5,N/A,Incorrect,N/A
229,373_PFL_ARJA_Patch_3_3,Correct,Correct,C
230,385_PFL_GenProg-A_Patch_5_5,Incorrect,Incorrect,C
231,482_NFL_GenProg-A_Patch_1_1,Correct,Incorrect,I
232,39_PFL_AVATAR_Patch_1,N/A,Correct,N/A
233,405_PFL_GenProg-A_Patch_2_2,Correct,Correct,C
234,89_PFL_Kali-A_Patch_2_2,Correct,Incorrect,I
235,211_NFL_kPAR_Patch_93_43,N/A,Incorrect,N/A
236,433_NFL_ARJA_Patch_6_5,Correct,Incorrect,I
237,344_PFL_ARJA_Patch_16_14,Correct,Correct,C
238,503_NFL_RSRepair-A_Patch_134_37,Incorrect,Incorrect,C
239,247_NFL_kPAR_Patch_405_243,N/A,Incorrect,N/A
240,365_NFL_TBar_Patch_75_45,N/A,Incorrect,N/A
241,26_NFL_AVATAR_Patch_447_97,N/A,Incorrect,N/A
242,611_NFL_SimFix_Patch_1_1,N/A,Correct,N/A
243,387_NFL_TBar_Patch_3_1,N/A,Incorrect,N/A
244,437_PFL_RSRepair-A_Patch_2_2,Correct,Correct,C
245,254_PFL_TBar_Patch_7_4,N/A,Correct,N/A
246,288_PFL_TBar_Patch_4_4,N/A,Incorrect,N/A
247,325_NFL_ACS_Patch_1_1,N/A,Incorrect,N/A
248,360_PFL_ARJA_Patch_1_1,Incorrect,Incorrect,C
249,338_PFL_TBar_Patch_167_35,N/A,Correct,N/A
250,34_NFL_AVATAR_Patch_600_284,N/A,Incorrect,N/A
251,323_PFL_TBar_Patch_16_6,N/A,Correct,N/A
252,547_NFL_SimFix_Patch_2275_2275,N/A,Correct,N/A
253,541_PFL_FixMiner_Patch_51_24,N/A,Incorrect,N/A
254,31_PFL_AVATAR_Patch_2_2,N/A,Incorrect,N/A
255,318_NFL_ACS_Patch_11_1,N/A,Incorrect,N/A
256,268_NFL_kPAR_Patch_3382_1595,N/A,Incorrect,N/A
257,463_PFL_SimFix_Patch_18_18,N/A,Incorrect,N/A
258,112_NFL_Kali-A_Patch_7_7,Correct,Incorrect,I
259,300_PFL_TBar_Patch_5_5,N/A,Correct,N/A
260,576_NFL_SimFix_Patch_63_63,N/A,Incorrect,N/A
261,146_PFL_kPAR_Patch_12_10,N/A,Incorrect,N/A
262,421_PFL_RSRepair-A_Patch_4_3,Incorrect,Incorrect,C
263,24_PFL_AVATAR_Patch_6_6,N/A,Correct,N/A
264,115_PFL_DynaMoth_Patch_1_1,Incorrect,Incorrect,C
265,454_NFL_ARJA_Patch_195_167,Correct,Incorrect,I
266,320_NFL_ACS_Patch_3_3,N/A,Correct,N/A
267,551_NFL_SimFix_Patch_26_26,N/A,Incorrect,N/A
268,276_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
269,191_PFL_kPAR_Patch_2_2,N/A,Correct,N/A
270,240_PFL_ACS_Patch_21_1,N/A,Correct,N/A
271,667_NFL_FixMiner_Patch_10_4,N/A,Correct,N/A
272,219_NFL_kPAR_Patch_19_8,N/A,Incorrect,N/A
273,151_NFL_DynaMoth_Patch_15_15,Correct,Incorrect,I
274,375_NFL_TBar_Patch_1789_1078,N/A,Incorrect,N/A
275,91_NFL_Kali-A_Patch_3_3,Incorrect,Incorrect,C
276,162_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
277,12_PFL_AVATAR_Patch_109,N/A,Incorrect,N/A
278,131_NFL_Kali-A_Patch_27_27,Correct,Incorrect,I
279,36_NFL_AVATAR_Patch_135_45,N/A,Incorrect,N/A
280,238_PFL_ACS_Patch_1_1,N/A,Incorrect,N/A
281,331_NFL_ACS_Patch_125_18,N/A,Correct,N/A
282,666_NFL_FixMiner_Patch_1_1,N/A,Correct,N/A
283,286_PFL_TBar_Patch_9_9,N/A,Incorrect,N/A
284,111_PFL_DynaMoth_Patch_1_1,Incorrect,Correct,I
285,430_PFL_RSRepair-A_Patch_4_1,Incorrect,Incorrect,C
286,522_NFL_RSRepair-A_Patch_26_4,Correct,Incorrect,I
287,505_NFL_RSRepair-A_Patch_867_312,Incorrect,Incorrect,C
288,156_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
289,343_PFL_ARJA_Patch_5_5,Incorrect,Correct,I
290,182_PFL_kPAR_Patch_1_1,N/A,Correct,N/A
291,203_PFL_Nopol_Patch_1_1,Incorrect,Correct,I
292,287_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
293,187_PFL_kPAR_Patch_1_1,N/A,Correct,N/A
294,641_NFL_FixMiner_Patch_19_8,N/A,Incorrect,N/A
295,134_PFL_kPAR_Patch_16_16,N/A,Correct,N/A
296,27_NFL_AVATAR_Patch_367_117,N/A,Incorrect,N/A
297,412_NFL_TBar_Patch_4046_2567,N/A,Incorrect,N/A
298,569_PFL_FixMiner_Patch_1_1,N/A,Correct,N/A
299,574_PFL_FixMiner_Patch_1_1,N/A,Correct,N/A
300,50_NFL_AVATAR_Patch_8_7,N/A,Incorrect,N/A
301,578_PFL_FixMiner_Patch_13_1,N/A,Correct,N/A
302,118_PFL_DynaMoth_Patch_1_1,Incorrect,Incorrect,C
303,534_PFL_FixMiner_Patch_1_1,N/A,Incorrect,N/A
304,243_PFL_ACS_Patch_2_2,N/A,Correct,N/A
305,143_PFL_kPAR_Patch_14_3,N/A,Incorrect,N/A
306,491_PFL_SimFix_Patch_1_1,N/A,Correct,N/A
307,482_PFL_SimFix_Patch_15_15,N/A,Correct,N/A
308,162_PFL_kPAR_Patch_247_247,N/A,Correct,N/A
309,365_PFL_ARJA_Patch_2_1,Incorrect,Incorrect,C
310,299_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
311,429_PFL_RSRepair-A_Patch_25_7,Incorrect,Correct,I
312,144_PFL_kPAR_Patch_1_1,N/A,Incorrect,N/A
313,277_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
314,490_NFL_GenProg-A_Patch_1241_726,Correct,Incorrect,I
315,210_PFL_Nopol_Patch_1_1,Correct,Incorrect,I
316,394_PFL_GenProg-A_Patch_2_1,Incorrect,Incorrect,C
317,454_PFL_SimFix_Patch_3039_3039,N/A,Incorrect,N/A
318,469_PFL_SimFix_Patch_6_6,N/A,Incorrect,N/A
319,29_PFL_AVATAR_Patch_5_5,N/A,Incorrect,N/A
320,478_PFL_SimFix_Patch_26_26,N/A,Incorrect,N/A
321,504_NFL_RSRepair-A_Patch_10_4,Incorrect,Incorrect,C
322,449_PFL_SimFix_Patch_78_78,N/A,Incorrect,N/A
323,488_PFL_SimFix_Patch_1_1,N/A,Correct,N/A
324,450_NFL_ARJA_Patch_22_11,Correct,Incorrect,I
325,151_PFL_kPAR_Patch_166_147,N/A,Incorrect,N/A
326,248_PFL_ACS_Patch_1_1,N/A,Correct,N/A
327,237_NFL_kPAR_Patch_4341_2826,N/A,Incorrect,N/A
328,279_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
