Patch_Name,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10
Patch189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patch13,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch19,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch155,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
PatchHDRepair2,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch187,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch74,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch43,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch7,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch154,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct
Patch158,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch177,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch167,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch55,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch182,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch77,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch33,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch66,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch176,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch65,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
PatchHDRepair7,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch17,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch37,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch10,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch26,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch206,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
PatchHDRepair5,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch196,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch161,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch207,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch53,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch32,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
PatchHDRepair8,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch45,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch92,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch186,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct
Patch54,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch150,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch90,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch89,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch91,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch29,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch181,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch72,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch201,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch6,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch208,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch172,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch197,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch25,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch30,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch68,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch75,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch83,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patch5,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch78,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
PatchHDRepair4,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch159,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch62,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch204,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch41,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch185,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch88,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch12,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch2,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch38,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch162,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch160,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch36,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch80,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch44,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch79,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch9,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch157,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
PatchHDRepair10,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch164,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch163,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch14,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch171,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch202,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch48,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch198,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch21,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch203,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch58,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch1,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch175,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patch3,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch15,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch173,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
PatchHDRepair6,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
